Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,0.000698393115871002,0.000288945802796733,0.0080342370525136,0,0,0,0.243375116892044,0.000212893207585076,5.24940171471573E-07,-2.46229578713821E-07,0.0001937211842341,2.43146414991934E-07,0.000369983133865988,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Body.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Camera_module_1,-0.000174104745675234,0.000380109596667467,0.0231270475088353,0,0,0,0.0193486685182062,2.47868059184651E-06,1.78107639784052E-07,2.5186022467185E-08,2.17141206071135E-06,-5.49868262993155E-08,1.92807254797739E-06,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Camera_module_1.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Camera_module_1.STL,,Camera_module_babyface-1/XL-320_V4-1;Camera_module_babyface-1/Babyface_bracket-2,Origin_camera_1,Axis_camera_1,camera_1,continuous,0,0,0.05,0,0,2.61799387799149,Body,0,0,1,,,,,,,,,,,,
Camera_module_2,0.00436630099388993,0.00301719279420027,0.0506803900992624,0,0,0,0.486270044594427,0.00123799487248614,4.97147542327292E-05,-0.000241432569473994,0.00114655832687739,-0.000103620095047648,0.00117731596184289,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Camera_module_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Camera_module_2.STL,,Camera_module_2^Snapbot_V2.0-1;Camera_module_babyface-1/Babyface_Face-2;Camera_module_babyface-1/ELP_Camera4-1;Camera_module_babyface-1/baby_doll_head_reduced_shell2-2,Origin_camera_2,Axis_camera_2,camera_2,continuous,0,0,0.0183294742460734,-0.00940777862508587,0.0162930683068517,-7.6643050616781E-05,Camera_module_1,0.500000000000001,-0.866025403784438,0,,,,,,,,,,,,
Leg_module_1_1,-7.13724657916415E-08,0.000373799301046029,0.0154182546673216,0,0,0,0.0631785349056668,1.7187711929136E-05,-5.83240695477994E-11,-2.19004554214847E-11,1.51262656733829E-05,-2.63262418810455E-08,1.20475796652155E-05,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_1_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_1_1.STL,,Copy of Leg_1^Snapbot_V2.0-1,Origin_leg_1_1,Axis_leg_1_1,leg_1_1,fixed,-0.0389249999999995,-0.0674200776846189,0.0103294742460734,1.5707963267949,0,-0.52359877559829,Body,0,0,0,,,,,,,,,,,,
Leg_module_1_2,-0.000290776360641745,0.000350553903850227,0.0424303561818182,0,0,0,0.0824270440491864,2.30529585035524E-05,-3.10286928952121E-09,1.49495155302856E-09,2.12214709599739E-05,-1.38476843679373E-07,2.44663294862975E-05,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_1_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_1_2.STL,,Copy of Leg_2^Snapbot_V2.0-1,Origin_leg_1_2,Axis_leg_1_2,leg_1_2,continuous,0,0,0.03725,0,0,0,Leg_module_1_1,0,1,0,,,,,,,,,,,,
Leg_module_1_3,2.45741484106166E-09,0.000972843111612401,0.036226536467209,0,0,0,0.0151486232431239,1.00807802365218E-05,4.3914426650432E-12,1.00434444959E-12,1.39066075750629E-05,-4.89507332017665E-07,4.80921677651482E-06,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_1_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_1_3.STL,,Copy of Leg_3^Snapbot_V2.0-1,Origin_leg_1_3,Axis_leg_1_3,leg_1_3,continuous,0,0.00029999999999997,0.05675,-0.0100573048452913,0,0,Leg_module_1_2,1,0,0,,,,,,,,,,,,
Leg_module_1_4,4.20295677225763E-05,-0.039054256810963,-0.001354432069402,0,0,0,0.0147333532003768,1.15244152883744E-05,4.83944400442451E-12,-7.64742245033355E-11,8.83031900445984E-07,-3.85547013488905E-07,1.19866034928746E-05,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_1_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_1_4.STL,,Copy of Leg_4^Snapbot_V2.0-1,Origin_leg_1_4,Axis_leg_1_4,leg_1_4,continuous,0,-0.000603428117922688,0.0599969655441553,-0.0105798453585739,0,0,Leg_module_1_3,1,0,0,,,,,,,,,,,,
Leg_module_1_4bar,-0.000153041712575408,-0.0147990308191147,0.0229851342034179,0,0,0,0.00683592925491238,2.34158176837936E-06,1.67093420859165E-09,8.89034652601541E-09,1.50934801971931E-06,8.10566623140942E-07,9.10986963067391E-07,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_1_4bar.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_1_4bar.STL,,Copy of Leg_4bar^Snapbot_V2.0-1,Origin_leg_1_4bar,Axis_leg_1_4bar,leg_1_4bar,continuous,0,0.00629999999999993,0.0804999999999999,-0.0165784581965256,0,0,Leg_module_1_2,1,0,0,,,,,,,,,,,,
Leg_module_2_1,-6.95475167594717E-08,0.00037379623691287,0.0154182547266335,0,0,0,0.063178534807664,1.71877117419958E-05,-5.83559857828288E-11,-2.10530223172314E-11,1.51262656422407E-05,-2.63251732228573E-08,1.20475795390294E-05,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_2_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_2_1.STL,,Copy of Leg_1^Snapbot_V2.0-2,Origin_leg_2_1,Axis_leg_2_1,leg_2_1,fixed,0.038925000000001,-0.0674200776846179,0.0103294742460733,1.5707963267949,0,0.52359877559831,Body,0,0,0,,,,,,,,,,,,
Leg_module_2_2,-0.000290786260265109,0.000350550447493953,0.0424303491067431,0,0,0,0.0824270292833377,2.30529583875021E-05,-3.10383306149424E-09,1.49529130831986E-09,2.12214701574865E-05,-1.38478939763604E-07,2.44663283940207E-05,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_2_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Snapbot_V2.0.SLDASM/meshes/Leg_module_2_2.STL,,Copy of Leg_2^Snapbot_V2.0-2,Origin_leg_2_2,Axis_leg_2_2,leg_2_2,continuous,0,0,0.03725,0,0,0,Leg_module_2_1,0,1,0,,,,,,,,,,,,
